_id,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,Grant_Existing,Grant_FY,Grant_Future,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
312,Boston Public Schools,Accessibility Improvements,"Upgrade facilities at various schools to increase building accessibility, including improvements to ramps, doors, and elevators.",Boston Public Schools,Annual Program,Citywide,950000,0,0,0,0,0,0.00,173465,0,776535.00,0.00,0,0,0.00,0,950000
313,Boston Public Schools,Bradley School Envelope,"Repair masonry, windows, and doors.",Public Facilities Department,In Design,East Boston,1663839,2486161,0,0,0,0,89388.00,283600,500000,3277012.00,0.00,0,0,0.00,0,4150000
314,Boston Public Schools,Mather School Envelope,"Repair roof, masonry, windows, and doors.",Public Facilities Department,In Design,Dorchester,3050000,1370000,0,0,0,0,178382.00,385000,0,3856618.00,0.00,0,0,0.00,0,4420000
315,Boston Public Schools,Henderson Upper School Yard,Design and construct a new school yard at the Henderson Upper School.,Public Facilities Department,In Construction,Dorchester,1355000,0,0,0,0,0,69475.00,110730,974795,200000.00,0.00,0,0,0.00,0,1355000
316,Boston Public Schools,Philbrick-Sumner Merger at Irving Building,Upgrade the former Irving School building to support the merger of the Philbrick and Sumner schools.,Public Facilities Department,In Construction,Roslindale,90770000,0,0,0,0,0,1728095.00,7735905,64456000,16850000.00,0.00,0,0,0.00,0,90770000
317,Boston Public Schools,Madison Park Technical Vocational High School Design,Design to begin major redesign and renovation of Madison Park Technical Vocational HS.,Public Facilities Department,In Design,Roxbury,45615000,54385000,0,0,0,0,503880.00,750000,12500000,86246120.00,0.00,0,0,0.00,0,100000000
318,Boston Public Schools,Kennedy Academy Envelope,"Repair roof, masonry, windows, and doors.",Boston Public Schools,In Design,Mission Hill,1892212,0,0,0,0,0,0.00,207212,0,1685000.00,0.00,0,0,0.00,0,1892212
319,Boston Public Schools,ARP 2021: Windows and Boilers at 4 Schools,Replace windows and doors at Boston Day and Evening Academy and the Hernandez School. Replace boiler at the Russell School and Henderson Upper School.,Public Facilities Department,In Construction,Multiple Neighborhoods,9840708,0,0,12739838,0,0,561365.00,1200000,3000000,5079343.00,177481.00,1000000,4600000,6962357.00,0,22580546
320,Boston Public Schools,West Roxbury Education Complex,Design study to demolish and rebuild the West Roxbury Education Complex as a comprehensive 7-12 school.,Public Facilities Department,To Be Scheduled,West Roxbury,18150000,0,0,0,0,0,113880.00,793120,0,17243000.00,0.00,0,0,0.00,0,18150000
321,Boston Public Schools,White Stadium Renovation,Design and construct a new East Grandstand for BPS athletics including new locker rooms and support facilities. ,Public Facilities Department,In Design,Roxbury,10500000,39500000,0,0,0,0,129878.00,1500000,11745600,36624522.00,0.00,0,0,0.00,0,50000000
322,Boston Public Schools,Mel King Academy Design,Programming and design study for renovations of the Mel King Academy.,Public Facilities Department,To Be Scheduled,South End,20257000,0,0,0,0,0,74150.00,257000,125000,19800850.00,0.00,0,0,0.00,0,20257000
323,Boston Public Schools,Masonry Repairs at Various Schools,Repair school building masonry at schools across the district.,Boston Public Schools,In Construction,Citywide,7222200,0,0,0,0,0,157124.00,950000,586621,5528455.00,0.00,0,0,0.00,0,7222200
324,Boston Public Schools,Bates School Boilers,Replace the boilers at Bates Elementary.,Boston Public Schools,To Be Scheduled,Roslindale,1000000,0,0,0,0,0,0.00,0,0,1000000.00,0.00,0,0,0.00,0,1000000
325,Boston Public Schools,Dudley Street NCS HVAC,Upgrade the HVAC at the Dudley Street Neighborhood Charter School.,Public Facilities Department,In Design,Roxbury,513000,0,0,0,0,0,108579.00,125000,0,279421.00,0.00,0,0,0.00,0,513000
326,Boston Public Schools,Condon School Lighting Improvements,Upgrade lighting at Condon Elementary.,Boston Public Schools,To Be Scheduled,South Boston,500000,0,0,0,0,0,0.00,0,0,500000.00,0.00,0,0,0.00,0,500000
327,Boston Public Schools,Warren-Prescott School Lighting Improvements,Upgrade lighting at the Warren-Prescott.,Public Facilities Department,To Be Scheduled,Charlestown,300000,0,0,0,0,0,0.00,0,0,300000.00,0.00,0,0,0.00,0,300000
328,Boston Public Schools,John F. Kennedy School Fire Alarms,Repair and upgrade the fire alarm system.,Boston Public Schools,In Design,Jamaica Plain,705000,0,0,0,0,0,0.00,160000,250000,295000.00,0.00,0,0,0.00,0,705000
329,Boston Public Schools,Cleveland Building Renovation,"Major renovations of the Cleveland School building, including repairs to the roof and building exterior.",Public Facilities Department,In Design,Dorchester,2150000,0,0,0,0,0,69245.00,500000,1200000,380755.00,0.00,0,0,0.00,0,2150000
330,Boston Public Schools,Winthrop School Roof,Replace the roof.,Boston Public Schools,In Construction,Dorchester,1700000,0,0,0,0,0,48144.00,102225,0,1549631.00,0.00,0,0,0.00,0,1700000
331,Boston Public Schools,Mendell School Roof,Replace the roof.,Boston Public Schools,To Be Scheduled,Roxbury,50000,0,0,0,0,0,0.00,0,0,50000.00,0.00,0,0,0.00,0,50000
332,Boston Public Schools,Holmes School Plumbing,Replace and repair the plumbing.,Boston Public Schools,To Be Scheduled,Dorchester,288000,0,0,0,0,0,0.00,0,0,288000.00,0.00,0,0,0.00,0,288000
333,Boston Public Schools,P. J. Kennedy School Renovation,"Replace boilers, install new fire sprinklers, and a new elevator to make the school building more accessible.",Public Facilities Department,In Construction,East Boston,21465000,0,0,0,0,0,2183452.00,2380800,13500000,3400748.00,0.00,0,0,0.00,0,21465000
334,Boston Public Schools,Timilty School Reconfiguration,Upgrade building facilities at the Timilty School to facilitate grade reconfiguration.,Public Facilities Department,To Be Scheduled,Roxbury,3000000,0,0,0,0,0,0.00,0,0,3000000.00,0.00,0,0,0.00,0,3000000
335,Boston Public Schools,Technology Infrastructure,Upgrades to technology infrastructure in support of 21st century learning.,Boston Public Schools,Annual Program,Citywide,7000000,0,7000000,0,0,0,605845.00,1500000,1000000,10894155.00,0.00,0,0,0.00,0,14000000
336,Boston Public Schools,Allston Elementary School Design,Develop a building program and design for the construction of a new preK-6 school to be located on the site of the Jackson Mann School.,Public Facilities Department,To Be Scheduled,Allston/Brighton,10150000,0,0,0,0,0,0.00,0,0,10150000.00,0.00,0,0,0.00,0,10150000
337,Boston Public Schools,Roxbury Elementary School Study,Develop a building program for the design and construction of a new preK-6 school.,Public Facilities Department,To Be Scheduled,Roxbury,150000,0,0,0,0,0,0.00,0,0,150000.00,0.00,0,0,0.00,0,150000
338,Boston Public Schools,Security Cameras,Installation of security cameras in multiple schools across the City.,Boston Public Schools,Implementation Underway,Citywide,25000000,0,0,0,0,0,0.00,5000000,2500000,17500000.00,0.00,0,0,0.00,0,25000000
339,Boston Public Schools,"ARP 2022: Boilers, Roof, Windows at 4 Schools","Replace boilers at Burke High School and the Haley School; replace roof at the Henderson Upper School; and replace windows at The English High School, in conjunction with the MSBA Accelerated Repair Program.",Public Facilities Department,In Construction,Multiple Neighborhoods,8889304,0,0,9606871,0,0,6000.00,2500000,5800000,583304.00,0.00,300000,2000000,7306871.00,0,18496175
340,Boston Public Schools,Door Alarms Upgrades at Various Schools,General security and safety upgrades to the door alarms at various schools across the City.,Boston Public Schools,To Be Scheduled,Citywide,2100000,0,0,0,0,0,0.00,0,0,2100000.00,0.00,0,0,0.00,0,2100000
341,Boston Public Schools,Elevator Upgrades at Various Schools,"General elevator improvements and upgrades at various schools across the district, including size, speed, and safety.",Boston Public Schools,In Design,Citywide,6000000,0,0,0,0,0,0.00,129650,0,5870350.00,0.00,0,0,0.00,0,6000000
342,Boston Public Schools,Building Envelope Repairs at Various Schools,General envelope repairs at schools across the district to improve energy efficiency and keep the structure in a state of good repair.,Public Facilities Department,To Be Scheduled,Citywide,6000000,0,0,0,0,0,0.00,0,0,6000000.00,0.00,0,0,0.00,0,6000000
343,Boston Public Schools,Pool Upgrades and Repairs at Various Schools,General pool upgrades and repairs at various schools to keep the assets in a state of good repair.,Boston Public Schools,In Construction,Citywide,7000000,3000000,0,0,0,0,0.00,1384000,3000000,5616000.00,0.00,0,0,0.00,0,10000000
344,Police Department,Communications Infrastructure Upgrades,Design and implementation of upgrades to the Police radio system.,Police Department,Implementation Underway,Citywide,53794000,0,0,0,0,0,49206901.00,2423253,1500000,663846.00,0.00,0,0,0.00,0,53794000
345,Police Department,District B-3 Station Study,Programming study to evaluate space requirements for the District B-3 station.,Public Facilities Department,To Be Scheduled,Mattapan,100000,0,0,0,0,0,0.00,0,0,100000.00,0.00,0,0,0.00,0,100000
346,Police Department,Evidence/Archives/Central Supply Study,"Program and siting study for new facility to house evidence management, archives, and central supply functions.",Public Facilities Department,To Be Scheduled,Citywide,75000,0,0,0,0,0,0.00,0,0,75000.00,0.00,0,0,0.00,0,75000
347,Police Department,Forensics Unit Facility Upgrades,Renovate interior space at BPD headquarters to redesign and expand the Forensic Unit.,Public Facilities Department,To Be Scheduled,Roxbury,60000,0,0,0,0,0,2160.00,0,0,57840.00,0.00,0,0,0.00,0,60000
348,Police Department,Police Facility Signage,Design and installation of upgraded signage at BPD facilities.,Public Facilities Department,In Design,Citywide,1000000,0,0,0,0,0,68241.00,0,0,931759.00,0.00,0,0,0.00,0,1000000
349,Police Department,Records Management Replacement,Replace existing records management system.,Police Department,Implementation Underway,Citywide,2850000,0,0,0,0,0,1520254.00,67572,0,1262174.00,0.00,0,0,0.00,0,2850000
350,Police Department,Special Operations Unit Facility Upgrades,Study to evaluate relocation of the EOD Unit.,Public Facilities Department,To Be Scheduled,Citywide,100000,0,0,0,0,0,0.00,0,0,100000.00,0.00,0,0,0.00,0,100000
351,Police Department,Station Facility Repairs,Capital maintenance at various BPD facilities including exterior repairs.,Police Department,To Be Scheduled,Multiple Neighborhoods,1500000,0,0,0,0,0,0.00,0,0,1500000.00,0.00,0,0,0.00,0,1500000
352,Police Department,Technology Upgrades at District Stations,Software upgrades to enhance digital security at BPD locations.,Police Department,Implementation Underway,Multiple Neighborhoods,1432000,0,0,0,0,0,0.00,222043,200000,1009957.00,0.00,0,0,0.00,0,1432000
353,Police Department,Window and Roof Replacements at 4 Stations,"Replace windows at District stations C6, C11, and E18 and roofs at C11 and E13.",Public Facilities Department,In Design,Multiple Neighborhoods,2700000,0,0,0,0,0,11915.00,0,250000,2438085.00,0.00,0,0,0.00,0,2700000
354,Police Department,Computer Aided Dispatch System Upgrade,CAD upgrades to match the RMS system replacement and allow for interoperability between CAD and RMS.,Police Department,Implementation Underway,Citywide,3301000,0,0,0,0,0,0.00,1000000,1000000,1301000.00,0.00,0,0,0.00,0,3301000
355,Police Department,District D-4 Station Elevator,General repairs.,Police Department,In Design,South End,30000,600000,0,0,0,0,0.00,250000,0,380000.00,0.00,0,0,0.00,0,630000
356,Police Department,Moon Island Gun Range,Renovate the outdoor rifle range training facility on Moon Island including improved drainage.,Public Facilities Department,In Design,Citywide,4000000,0,0,0,0,0,0.00,100000,425000,3475000.00,0.00,0,0,0.00,0,4000000
357,Police Department,911 Battery/UPS/PDU Backup,Replace E-9-1-1 battery/UPS/PDU backup system.,Police Department,To Be Scheduled,Citywide,2075000,0,0,0,0,0,0.00,0,0,2075000.00,0.00,0,0,0.00,0,2075000
358,Transportation Department,Safe Streets for All,"Design and construct safety improvements at 8 specific intersections across the city, in order to mitigate unsafe travel and improve pedestrian and active transportation safety.",Transportation Department,To Be Scheduled,Multiple Neighborhoods,2500000,0,0,9000000,0,0,0.00,100000,500000,1900000.00,0.00,0,0,9000000.00,0,11500000
359,Boston Planning and Development Agency,Harrison Avenue BWSC Operations,Study and design a garage to facilitate development of existing parking lots into mixed income housing and open space.,Boston Planning and Development Agency,To Be Scheduled,South End,0,0,0,1000000,0,0,0.00,0,0,0.00,0.00,200000,200000,600000.00,0,1000000
360,Boston Public Schools,O'Donnell School Yard Improvements,Improvements to the playground and school yard.,Boston Public Schools,In Design,East Boston,700000,0,0,0,0,0,0.00,0,0,700000.00,0.00,0,0,0.00,0,700000
361,Property Management Department,Old State House,Design accessibility improvements as part of a larger renovation at the Old State House building.,Property Management Department,To Be Scheduled,Downtown/Government Center,0,0,0,500000,0,0,0.00,0,0,0.00,0.00,50000,200000,250000.00,0,500000
362,Fire Department,Engine 17 Phase 2,"Design and construction of fueling station, additional parking, landscaping improvements, and demolition of the existing Engine 17 fire station.",Public Facilities Department,To Be Scheduled,Dorchester,5000000,0,0,0,0,0,0.00,0,350000,4650000.00,0.00,0,0,0.00,0,5000000
363,Transportation Department,Reconnecting Communities,Conduct a feasibility study and initial design for a new park built on a deck over the I-90 highway and MBTA tracks between Shawmut Ave. and Washington Street.,Transportation Department,To Be Scheduled,Chinatown,600000,0,0,1800000,0,0,0.00,50000,200000,350000.00,0.00,0,150000,1650000.00,0,2400000
364,Boston Public Schools,Long-term Facilities Improvements,Funding for the design and construction of school facilities related to the implementation of Boston Public School's long-term facilities plan.,Public Facilities Department,New Project,Citywide,10966705,39033295,0,0,0,0,0.00,0,0,50000000.00,0.00,0,0,0.00,0,50000000
365,Boston Public Schools,King K-8 School Renovation,Study and design of the King K-8 School to result in major renovations and improvements.,Public Facilities Department,To Be Scheduled,Dorchester,5000000,0,0,0,0,0,0.00,0,0,5000000.00,0.00,0,0,0.00,0,5000000
366,Property Management Department,Facilities Condition Assessment,"Conduct a citywide assessment of municipal facilities, including BYCF centers, police and fire stations, office spaces, and other city buildings.",Public Facilities Department,Study Underway,Citywide,5000000,0,0,0,0,0,0.00,400000,2139836,2460164.00,0.00,0,0,0.00,0,5000000
367,Boston Public Schools,BCLA / McCormack School Phase 2 Renovation,Major renovations to the BCLA / McCormack School building to support the 7-12 grade configuration.,Public Facilities Department,To Be Scheduled,Dorchester,12000000,0,0,0,0,0,0.00,0,0,12000000.00,0.00,0,0,0.00,0,12000000
368,Boston Public Schools,Property Acquisition for Schools,Identify and acquire property throughout the city that could be used for the building of new schools.,Public Facilities Department,To Be Scheduled,Citywide,4000000,0,0,0,0,0,0.00,0,0,4000000.00,0.00,0,0,0.00,0,4000000
369,Boston Public Schools,Shaw School and Taylor School Study and Design,"Study and design for a consolidated school, combining the Shaw and Taylor schools. If selected, the project may be implemented in conjunction with the MSBA school building construction program.",Public Facilities Department,To Be Scheduled,Mattapan,0,0,50000000,0,0,0,0.00,0,500000,49500000.00,0.00,0,0,0.00,0,50000000
370,Public Health Commission,Hyde Park Health Center Study,Programing and siting study for a Hyde Park area community health center.,Public Facilities Department,To Be Scheduled,Hyde Park,0,0,2000000,0,0,0,0.00,0,0,2000000.00,0.00,0,0,0.00,0,2000000
371,Boston Public Schools,HVAC Repairs at Various Schools,HVAC repairs and upgrades at various schools.,Boston Public Schools,To Be Scheduled,Citywide,10000000,0,0,0,0,0,0.00,200000,550000,9250000.00,0.00,0,0,0.00,0,10000000
372,Fire Department,HVAC Repairs at Various Fire Stations,HVAC repairs and upgrades at various fire stations.,Public Facilities Department,Annual Program,Citywide,910000,0,0,0,0,0,0.00,0,350000,560000.00,0.00,0,0,0.00,0,910000
373,Boston Public Schools,Baldwin School Masonry Repairs,Repair masonry at the school.,Boston Public Schools,In Construction,Allston/Brighton,1297900,0,0,0,0,0,0.00,1297900,0,0.00,0.00,0,0,0.00,0,1297900
374,Boston Public Schools,Henderson Inclusion Lower School Yard,Design and construct improvements to the school yard.,Boston Public Schools,In Construction,Dorchester,1285000,0,0,0,0,0,0.00,1285000,0,0.00,0.00,0,0,0.00,0,1285000
375,Boston Public Schools,Winship School Yard,Design and construct improvements to the school yard.,Boston Public Schools,In Construction,Allston/Brighton,1490000,0,0,0,0,0,0.00,1490000,0,0.00,0.00,0,0,0.00,0,1490000
376,Boston Public Schools,Warren Prescott School Yard,Design and construct improvements to the school yard.,Boston Public Schools,In Construction,Charlestown,1195000,0,0,0,0,0,0.00,1195000,0,0.00,0.00,0,0,0.00,0,1195000
377,Parks and Recreation Department,Boston Common Frog Pond,Improvements to the Frog Pond at Boston Common.,Parks and Recreation Department,Study Underway,Beacon Hill,0,0,0,250000,0,0,0.00,0,0,0.00,0.00,0,0,250000.00,0,250000
378,Transportation Department,Dorchester Greenway,"Plan and design a linear park through Dorchester near the covered portion of the MBTA Red Line, supported with MassTrails grant.",Transportation Department,Study Underway,Dorchester,368250,0,0,0,0,0,0.00,25000,200000,143250.00,0.00,0,0,0.00,0,368250
379,Boston Public Schools,Madison Park Fire Pumps,Replace the fire pumps at Madison Park Technical Vocational High School.,Public Facilities Department,In Construction,Roxbury,2765000,0,0,0,0,0,0.00,1659000,1106000,0.00,0.00,0,0,0.00,0,2765000
380,Fire Department,FY25 Fire Equipment,Purchase new engines and ladders for Boston Fire.,Boston Fire Department,Implementation Underway,Citywide,4000000,0,0,0,0,0,0.00,1750791,2249209,0.00,0.00,0,0,0.00,0,4000000
381,Environment Department,Border Street Resilience,Plan a resilient coastal solution for Border Street in East Boston.,Environment Department,Study Underway,East Boston,500000,0,0,0,1000000,0,0.00,150000,100000,250000.00,0.00,0,600000,400000.00,0,1500000
382,Public Works Department,Long Island Bridge,Construct a new bridge from Moon Island to Long Island.,Public Works Department,In Design,Harbor Islands,50000000,0,58758144,0,0,0,0.00,0,1000000,107758144.00,0.00,0,0,0.00,0,108758144
383,Transportation Department,Traffic Signal Communications Improvements,Install fiber optic cable and replaces existing traffic controller units at 104 intersections to improve signal management.,Transportation Department,New Project,Citywide,1875000,1125000,0,0,0,0,0.00,300000,1200000,1500000.00,0.00,0,0,0.00,0,3000000
384,Transportation Department,Lafayette Garage Repairs,Perform assessment and repairs to the Lafayette Garage.,Public Facilities Department,New Project,Downtown/Government Center,0,0,0,0,850000,0,0.00,0,0,0.00,0.00,0,125000,725000.00,0,850000
385,Fire Department,Exterior Repairs at Various Stations,"Repair aprons and exterior work at Engine stations 28, 9, 39, 4, and 10.",Public Facilities Department,New Project,Multiple Neighborhoods,0,375000,0,0,0,0,0.00,0,50000,325000.00,0.00,0,0,0.00,0,375000
386,Fire Department,Engine 21 Retaining Wall,Repair granite block retaining wall at Engine 21.,Public Facilities Department,New Project,Dorchester,0,1000000,0,0,0,0,0.00,0,0,1000000.00,0.00,0,0,0.00,0,1000000
387,Fire Department,Emergency Generator Replacement,"Design and engineering for the replacement of backup generators at Engines 7, 16, 22, and 28.",Public Facilities Department,New Project,Multiple Neighborhoods,0,360000,0,0,0,0,0.00,0,50000,310000.00,0.00,0,0,0.00,0,360000
388,Fire Department,Fuel Pump Tank Replacement,Replace fuel tanks at various fire stations.,Public Facilities Department,New Project,Citywide,0,720000,0,0,0,0,0.00,0,50000,670000.00,0.00,0,0,0.00,0,720000
389,Fire Department,Roof Replacements at Various Stations,"Engineering and design for the replacing roofs at Engine 8, Engine 30, and Maintenance (small car shop).",Public Facilities Department,New Project,Multiple Neighborhoods,0,1000000,0,0,0,0,0.00,0,250000,750000.00,0.00,0,0,0.00,0,1000000
390,Boston Planning and Development Agency,Long Wharf Resilience Solutions,Study and design of the entirety of an immediate flood pathway from North End to East India Row in the Downtown/North End neighborhoods. This is an expansion of the ongoing resilience work at Long Wharf.,Boston Planning and Development Agency,New Project,Downtown/Government Center,0,3000000,0,0,0,0,0.00,0,400000,2600000.00,0.00,0,0,0.00,0,3000000
391,Parks and Recreation Department,Franklin Park Circuit Drive Safety Improvements,Design safety and stormwater improvements for Circuit Drive.,Parks and Recreation Department,New Project,Roxbury,0,0,0,500000,0,0,0.00,0,0,0.00,0.00,0,75000,425000.00,0,500000
392,Parks and Recreation Department,Franklin Park Dog Park,Site selection and design documents for a dog recreation space and tennis facilities in Franklin Park.,Parks and Recreation Department,New Project,Roxbury,0,0,0,50000,0,0,0.00,0,0,0.00,0.00,0,50000,0.00,0,50000
393,Parks and Recreation Department,Franklin Park Peabody Circle,"Design improvements to Peabody Circle that create a welcoming and functional park entrance that coordinates with ZNE, and the Blue Hill Ave. and Columbia Road Transportation Action Plans.",Parks and Recreation Department,New Project,Roxbury,0,0,0,300000,0,0,0.00,0,0,0.00,0.00,0,50000,250000.00,0,300000
394,Parks and Recreation Department,Boston Common Mayor's Walk,"Design and construct a mid-block crossing on Charles Street at the Mayor's Walk to restore and clarify park edges and entrances, and improve Mayor's Walk surface, seating, and drainage.",Parks and Recreation Department,New Project,Beacon Hill,0,0,0,1420000,0,0,0.00,0,0,0.00,0.00,0,100000,1320000.00,0,1420000
395,Parks and Recreation Department,Boston Common Parkman Bandstand,"Design and construct improvements to the stone masonry and metal railings, and install an accessible ramp to create ADA access.",Parks and Recreation Department,New Project,Beacon Hill,0,0,0,1860000,0,0,0.00,0,0,0.00,0.00,0,75000,1785000.00,0,1860000
396,Parks and Recreation Department,Ronan Park Wall Repair,Rebuild the wall on the southern property line.,Parks and Recreation Department,New Project,Dorchester,0,500000,0,0,0,0,0.00,0,50000,450000.00,0.00,0,0,0.00,0,500000
397,Parks and Recreation Department,Harambee Park Phase 5,"Design and construct improvements to the netball court with fencing, build a tennis court, and separate sewer and drain lines as required by BWSC.",Parks and Recreation Department,New Project,Dorchester,0,1510000,0,0,0,0,0.00,0,0,1510000.00,0.00,0,0,0.00,0,1510000
398,Parks and Recreation Department,Doherty Park Accessibility Improvements,Design a welcoming and accessible pedestrian plaza on Bunker Hill Street.,Parks and Recreation Department,New Project,Charlestown,0,150000,0,0,0,0,0.00,0,0,150000.00,0.00,0,0,0.00,0,150000
399,Parks and Recreation Department,McLaughlin Playground,"Design improvements to the play area, basketball court, plaza, accessible pathways, and fields.",Parks and Recreation Department,New Project,Mission Hill,0,300000,0,0,0,0,0.00,0,0,300000.00,0.00,0,0,0.00,0,300000
400,Parks and Recreation Department,Porzio Park Play Area,Design improvements to the play area and splash pad.,Parks and Recreation Department,New Project,East Boston,0,200000,0,0,0,0,0.00,0,0,200000.00,0.00,0,0,0.00,0,200000
401,Parks and Recreation Department,Mozart Park Playground & Art Setting,Design improvements to the play area and site permanent location for proposed artwork.,Parks and Recreation Department,New Project,Jamaica Plain,0,170000,0,0,0,0,0.00,0,0,170000.00,0.00,0,0,0.00,0,170000
402,Parks and Recreation Department,Trotter School Park Playground,"Design improvements to the play area, basketball courts, and gateway.",Parks and Recreation Department,New Project,Roxbury,0,165000,0,0,0,0,0.00,0,0,165000.00,0.00,0,0,0.00,0,165000
403,Parks and Recreation Department,Savin Hill Park Courts,Design improvements to the existing sport courts that address drainage and accessibility.,Parks and Recreation Department,New Project,Dorchester,0,165000,0,0,0,0,0.00,0,0,165000.00,0.00,0,0,0.00,0,165000
404,Property Management Department,City Hall New Elevator,"Design and install a new 4 stop elevator in City Hall, allowing movement between floors 1, 2, 3, M, and 4 to improve accessibility of the interior courtyard and transaction windows.",Public Facilities Department,In Design,Downtown/Government Center,6300000,0,0,0,0,0,0.00,0,500000,5800000.00,0.00,0,0,0.00,0,6300000
405,Property Management Department,1010 Massachusetts Avenue,Begin design process for comprehensive renovation of 1010 Mass Ave. and begin initial interior renovations.,Public Facilities Department,New Project,Roxbury,0,5000000,0,0,0,0,0.00,0,0,5000000.00,0.00,0,0,0.00,0,5000000
406,Public Works Department,Wood Avenue Safety Improvements,Design and construct safety improvements along Wood Ave. and in the surrounding neighborhoods.,Public Works Department,New Project,Hyde Park,0,2000000,0,0,0,0,0.00,0,0,2000000.00,0.00,0,0,0.00,0,2000000
407,Public Works Department,Jones Avenue Neighborhood Improvements,"Reconstruct the existing sidewalks and roadways on parts of Jones Ave., Jacobs Street, Mascot Street, Mountain Ave., Ballou Ave., and Willowwood Street.",Public Works Department,New Project,Dorchester,0,5200000,0,0,0,0,0.00,0,500000,4700000.00,0.00,0,0,0.00,0,5200000
408,Transportation Department,Safety Surge: Safer Signals,Make systemic safety improvements to traffic signals at 50 locations across the City. The project will focus on upgrading locations in underserved communities and on improving conditions for all roadway users along the City’s High-Crash Network.,Transportation Department,New Project,Citywide,0,3600000,0,0,14400000,0,0.00,0,31276,3568724.00,0.00,0,125105,14274895.00,0,18000000
409,Mayor's Office of Housing,Elevator Modernization,"Modernization of elevators at public housing sites to promote accessibility, ensure redundancy, and reduce vulnerability to outages, heat, or environmental hazards.",Boston Housing Authority,New Project,Multiple Neighborhoods,0,4000000,0,0,0,0,0.00,0,500000,3500000.00,0.00,0,0,0.00,0,4000000
410,Public Works Department,Central Maintenance Facility Roof Replacement,Replace the roof at the central maintenance facility at 400 Frontage Road.,Public Facilities Department,New Project,South Boston,0,5000000,0,0,0,0,0.00,0,250000,4750000.00,0.00,0,0,0.00,0,5000000
411,Police Department,Server Room Backup Cooling,Install emergency backup cooling systems to headquarters server room.,Police Department,New Project,Roxbury,0,1000000,0,0,0,0,0.00,0,0,1000000.00,0.00,0,0,0.00,0,1000000
412,Boston Public Schools,Bathroom Improvements at Various Schools,Renovate bathrooms in schools across the district.,Boston Public Schools,New Project,Multiple Neighborhoods,5000000,21000000,0,0,0,0,0.00,0,5000000,21000000.00,0.00,0,0,0.00,0,26000000
413,Public Works Department,ADA Ramps Pedestrian Ramps FY25-27,"Install or reconstruct pedestrian ramps to conform to current ADA and AAB regulations for the 2025, 2026, and 2027 construction seasons.",Public Works Department,Annual Program,Citywide,11900000,0,8100000,3100000,11900000,25000000,0.00,0,4200000,15800000.00,0.00,0,15000000,25000000.00,0,60000000
414,Public Works Department,Sidewalk Reconstruction FY25-27,"Program for sidewalk reconstruction and repair including responses to 311 requests as well as planned reconstruction of brick and concrete sidewalks for the 2025, 2026, and 2027 construction seasons.",Public Works Department,Annual Program,Citywide,0,4650000,2250000,0,8500000,19600000,0.00,0,2600000,4300000.00,0.00,0,8500000,19600000.00,0,35000000
415,Public Works Department,Roadway Reconstruction and Resurfacing FY25-27,Maintain citywide streets with resurfacing and reconstruction efforts.,Public Works Department,Annual Program,Citywide,0,20000000,10000000,0,0,40500000,0.00,0,3000000,27000000.00,0.00,0,13500000,27000000.00,0,70500000
416,Boston Public Schools,Blackstone School Pool,Renovate the pool at the Blackstone School.,Public Facilities Department,New Project,South End,500000,1500000,0,0,0,0,0.00,0,200000,1800000.00,0.00,0,0,0.00,0,2000000
417,Boston Public Schools,Holland School Pool,Renovate the pool at the Holland School.,Public Facilities Department,New Project,Dorchester,500000,1500000,0,0,0,0,0.00,0,200000,1800000.00,0.00,0,0,0.00,0,2000000
418,Environment Department,Coastal Resilience Reserve,"Funding reserve that will be used to provide matching funds as needed for state, federal, or other grant programs and to support budget increases of coastal resilience projects that may be necessary.",Environment Department,To Be Scheduled,Multiple Neighborhoods,0,0,75000000,0,0,0,0.00,0,0,75000000.00,0.00,0,0,0.00,0,75000000
419,Boston Public Schools,School Yard Improvements,"Design and construct school yard improvements including new play structures, safety surfacing, and landscaping.",Boston Public Schools,Annual Program,Citywide,750000,2250000,3000000,0,0,0,0.00,0,750000,5250000.00,0.00,0,0,0.00,0,6000000
420,Boston Public Schools,Security and PA Upgrades,"Security-related improvements at various schools, including installing or upgrading PA and alarm systems.",Boston Public Schools,Annual Program,Citywide,0,5000000,0,0,0,0,0.00,0,1000000,4000000.00,0.00,0,0,0.00,0,5000000
421,Public Works Department,Bridge Repairs,Ongoing repairs at various City-owned bridges as needed to bring the portfolio of 40 bridges to a state of good repair. This includes proactive maintenance and annual maintenance.,Public Works Department,Annual Program,Citywide,37500000,0,0,0,0,0,18380301.00,7000000,5000000,7119699.00,0.00,0,0,0.00,0,37500000
422,Public Works Department,Transit Project-Related Infrastructure Improvements,"Design and include enhancements to MBTA driven project on city streets, including green infrastructure, bike lanes, and sidewalk enhancements.",Public Works Department,New Project,Citywide,0,10000000,0,0,0,0,0.00,0,0,10000000.00,0.00,0,0,0.00,0,10000000
